company_name,occupation,region,rating,recommend,pros,cons,burnout_exhaustion_flag,burnout_exhaustion_terms,compassion_fatigue_flag,compassion_fatigue_terms,management_frustration_flag,management_frustration_terms,fulfillment_purpose_flag,fulfillment_purpose_terms,salary_dissatisfaction_flag,salary_dissatisfaction_terms,turnover_instability_flag,turnover_instability_terms,job_satisfaction_flag,job_satisfaction_terms,team_support_flag,team_support_terms,pride_recognition_flag,pride_recognition_terms,healthy_balance_flag,healthy_balance_terms,pros_sentiment,cons_sentiment,invisible_labor_score,positive_experience_score
HealthTrust Workforce Solutions,Nurse,,4.0,positive,Wonderful company with great benefits. I feel that my recruiter and supervisor listen to me and are there to defend me. The lay is good and so are the benefits,People always say working for HCA is awful but I’ve never had a bad experience in all my years or facilities.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.06666666666666667,-0.09090909090909091,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,3.0,,Good money on the side if you find a good unit/hospital to pick up shifts at.,"Shifts get cancelled at times, base pay has been lowered twice while I worked there.",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.125,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,,4.0,,"Agency nurse, flexible hours, still part of HCA (still able to have 401K and ESPP)","Communication is not the best at this company. Recruiters do not communicate much and always check your paycheck, they have messed mine up in the past.",0,,0,,0,,0,,1,paycheck,0,,0,,0,,0,,1,flexible,0.06666666666666667,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,South,4.0,,No daily emails. No meetings,Stagnant pay. No pay reviews,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,5.0,,Flexible schedule High hourly rate Multiple facility options,"May not always get scheduled at the facility you want to go to, frequent cancellations",0,,0,,0,,0,,0,,0,,0,,0,,0,,1,flexible,0.125,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,South,4.0,,The ability to schedule my own shifts,If census is low there are times when you are cancelled.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,,4.0,positive,Great work flexibility if your willing to travel to other flexibility Frequent pay bonuses if unable to fill positions Weekly pay Access to 401K matching,Sometimes heavy patient loads 6:1 RN to patient ratio Seldom receive raise from base pay,0,,1,patient ratio,0,,0,,0,,0,,0,,0,,0,,0,,0.04,0.0,0.75,0.0
HealthTrust Workforce Solutions,Nurse,South,3.0,,"Pay, IVF benefits, weekly pay","Poor communication, management are not nurses so difficultly understanding any hardships you encounter",0,,0,,1,poor communication,0,,0,,0,,0,,0,,0,,0,,0.0,-0.07692307692307693,0.5,0.0
HealthTrust Workforce Solutions,Nurse,South,3.0,,"They have an app that you can book through, which makes picking up shifts easy.",You can get canceled and have to reroute yourself to other hospitals if you want to work that day. Not all are super friendly.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.041666666666666664,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,5.0,,Pros would be the general work opportunities available.,Cons would be the change in hours via overtime cap.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,3.0,,"flexibility, you choose the days you want to work",first to float or be canceled,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,4.0,,Can choose the days you work.,Can be called off at any time.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,3.0,,Flexibility and control over schedule. Able to pick up and multiple hospitals,Patient to nurse ratios is high,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,5.0,,"Differential, self booking via app",Lower pay compared to other local agencies,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,2.0,,Pay is below average for agency nursing and I have not received a raise for 2 years.,Not very good with communication as a whole. But I got lucky with a great recruiter but prior to that you would get a different story depending on who on spoke with.,0,,0,,0,,0,,1,pay is,0,,0,,0,,0,,0,,0.0,0.0625,0.0,0.0
HealthTrust Workforce Solutions,Nurse,West,5.0,,Never canceled my contract in the 4 years I’ve worked for them,Pay isn’t the highest but that’s really about it,0,,0,,0,,0,,1,pay is,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,,3.0,,Good pay. More hospitals. Competitive facilities.,Unstructured operations. Lack of consistency.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.16666666666666666,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,,3.0,positive,Flexibility Helpful and attentive recruiter,Cancellation Poor assignment depending on facility,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2,-0.16666666666666666,0.0,0.0
HealthTrust Workforce Solutions,Nurse,,1.0,negative,Large corporation through the US,Don’t have too much to say about this company. I guess i have a job here,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,,4.0,positive,Hours are flexible and pay is fair.,Have to float to areas when not needed in specialty area.,0,,0,,0,,0,,1,pay is,0,,0,,0,,0,,1,flexible,0.14285714285714285,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,West,1.0,,Great app very user friendly,Inconsistent hours and pay for months,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.4,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,West,4.0,positive,Get to choose your own schedule,Onboarding takes a very long time,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,West,5.0,,"Easy booking, quick response, quick process.",You are the first to get canceled over staff.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,4.0,positive,Flexibility,Contract work so different hospitals everyday sometimes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,4.0,,Can accept contracts with facilities in my area or choose my own schedule.,I did not have any cons to working for HWS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,3.0,,"Flexible scheduling, multiple job opportunities",Low wage increase every year,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,flexible,0.2,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,West,4.0,positive,"High hourly rate, able to stay at this assignment for as long as they need me, not the usual year in other travel assignments d/t paying local taxes, Amazing unit","Sometimes hard to communicate, Have to do most of the work myself to ensure my contract gets extended, Have had to call the company several times to fix logistical issues",0,,0,,0,,1,amazing,0,,0,,0,,0,,0,,0,,0.03333333333333333,0.0,-0.5,0.5
HealthTrust Workforce Solutions,Nurse,South,4.0,,Very easy scheduling process on an app.,strict rules with picking up shifts,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
HealthTrust Workforce Solutions,Nurse,South,3.0,,Flexible but you get the worst of it,Canceled shifts and limited facilities affect pay,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,flexible,0.125,0.0,0.0,0.5
HealthTrust Workforce Solutions,Nurse,South,3.0,,Flexible schedule and work life balance,Extremely unsafe ratios at every facility,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,"flexible, work life balance",0.16666666666666666,0.0,0.0,1.0
HealthTrust Workforce Solutions,Nurse,Midwest,1.0,negative,The pay was fine. Full benefits available,Unsafe assignments. 6:1 for most units,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,0.0,0.0,0.0
