company_name,category,group,rating,num_ratings
HealthTrust Workforce Solutions,Race / Ethnicity,★ Asian,2.5,17
HealthTrust Workforce Solutions,Race / Ethnicity,★ Black or African American,3.4,36
HealthTrust Workforce Solutions,Race / Ethnicity,★ Hispanic or Latinx,3.1,24
HealthTrust Workforce Solutions,Race / Ethnicity,★ White,3.3,54
HealthTrust Workforce Solutions,Gender,★ Men,3.1,38
HealthTrust Workforce Solutions,Gender,★ Women,3.4,77
HealthTrust Workforce Solutions,Sexual orientation,★ Heterosexual,3.2,112
HealthTrust Workforce Solutions,Sexual orientation,★ LGBTQ+,3.0,7
HealthTrust Workforce Solutions,Disability,★ People without disabilities,3.3,123
HealthTrust Workforce Solutions,Disability,★ People with disabilities,3.1,6
HealthTrust Workforce Solutions,Parent or family caregiver,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status Scroll to right 3.3 ★ Caregivers 5 ratings 2.8 ★ Not a Parent or Caregiver 69 ratings 3.8 ★ Parents/Guardians,,39
HealthTrust Workforce Solutions,Parent or family caregiver,★ Caregivers,3.3,5
HealthTrust Workforce Solutions,Parent or family caregiver,★ Not a Parent or Caregiver,2.8,69
HealthTrust Workforce Solutions,Parent or family caregiver,★ Parents/Guardians,3.8,39
HealthTrust Workforce Solutions,Veteran status,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status 3.2 ★ Non-Veterans 122 ratings 2.6 ★ Veterans,,8
HealthTrust Workforce Solutions,Veteran status,★ Non-Veterans,3.2,122
HealthTrust Workforce Solutions,Veteran status,★ Veterans,2.6,8
Intermountain Health,Race / Ethnicity,★ Asian,3.7,71
Intermountain Health,Race / Ethnicity,★ Black or African American,3.0,36
Intermountain Health,Race / Ethnicity,★ Hispanic or Latinx,3.2,114
Intermountain Health,Race / Ethnicity,★ Indigenous American or Alaska Native,4.2,16
Intermountain Health,Gender,★ Men,3.3,342
Intermountain Health,Gender,★ Transgender and/or Non-Binary,2.8,13
Intermountain Health,Gender,★ Women,3.6,563
Intermountain Health,Sexual orientation,★ Heterosexual,3.6,715
Intermountain Health,Sexual orientation,★ LGBTQ+,3.1,103
Intermountain Health,Disability,★ People without disabilities,3.5,748
Intermountain Health,Disability,★ People with disabilities,3.0,94
Intermountain Health,Parent or family caregiver,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status Scroll to right 2.5 ★ Caregivers 16 ratings 3.4 ★ Not a Parent or Caregiver 447 ratings 3.5 ★ Parents/Guardians,,365
Intermountain Health,Parent or family caregiver,★ Caregivers,2.5,16
Intermountain Health,Parent or family caregiver,★ Not a Parent or Caregiver,3.4,447
Intermountain Health,Parent or family caregiver,★ Parents/Guardians,3.5,365
Intermountain Health,Veteran status,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status 3.4 ★ Non-Veterans 836 ratings 3.5 ★ Veterans,,42
Intermountain Health,Veteran status,★ Non-Veterans,3.4,836
Intermountain Health,Veteran status,★ Veterans,3.5,42
West Covina Unified School District,Race / Ethnicity,★ Hispanic or Latinx,3.5,6
West Covina Unified School District,Race / Ethnicity,Asian,,0
West Covina Unified School District,Race / Ethnicity,Black or African American,,0
West Covina Unified School District,Race / Ethnicity,Indigenous American or Alaska Native,,0
West Covina Unified School District,Sexual orientation,★ Heterosexual,4.4,5
West Covina Unified School District,Sexual orientation,LGBTQ+,,0
West Covina Unified School District,Disability,★ People without disabilities,4.4,5
West Covina Unified School District,Disability,People with disabilities,,0
West Covina Unified School District,Parent or family caregiver,★ Not a Parent or Caregiver,3.5,6
West Covina Unified School District,Veteran status,Scroll to left Race / Ethnicity Sexual orientation Disability Parent or family caregiver Veteran status 4.4 ★ Non-Veterans 5 ratings - ★ Veterans,,0
West Covina Unified School District,Veteran status,★ Non-Veterans,4.4,5
Zeta Charter Schools,Race / Ethnicity,★ Asian,3.8,9
Zeta Charter Schools,Race / Ethnicity,★ Black or African American,3.5,26
Zeta Charter Schools,Race / Ethnicity,★ Hispanic or Latinx,3.7,23
Zeta Charter Schools,Race / Ethnicity,★ White,3.4,21
Zeta Charter Schools,Gender,★ Men,4.1,13
Zeta Charter Schools,Gender,★ Transgender and/or Non-Binary,4.8,5
Zeta Charter Schools,Gender,★ Women,3.4,53
Zeta Charter Schools,Sexual orientation,★ Heterosexual,3.8,42
Zeta Charter Schools,Sexual orientation,★ LGBTQ+,3.4,19
Zeta Charter Schools,Disability,★ People without disabilities,3.8,56
Zeta Charter Schools,Disability,★ People with disabilities,1.3,7
Zeta Charter Schools,Parent or family caregiver,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status Scroll to right 3.9 ★ Not a Parent or Caregiver 46 ratings 4.1 ★ Parents/Guardians 11 ratings - ★ Caregivers,,0
Zeta Charter Schools,Parent or family caregiver,★ Not a Parent or Caregiver,3.9,46
Zeta Charter Schools,Parent or family caregiver,★ Parents/Guardians,4.1,11
Zeta Charter Schools,Veteran status,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status 3.7 ★ Non-Veterans 63 ratings - ★ Veterans,,0
Zeta Charter Schools,Veteran status,★ Non-Veterans,3.7,63
Uncommon Schools,Race / Ethnicity,★ Asian,2.5,24
Uncommon Schools,Race / Ethnicity,★ Black or African American,2.8,98
Uncommon Schools,Race / Ethnicity,★ Hispanic or Latinx,2.6,48
Uncommon Schools,Race / Ethnicity,★ White,2.3,76
Uncommon Schools,Gender,★ Men,3.1,61
Uncommon Schools,Gender,★ Transgender and/or Non-Binary,1.6,10
Uncommon Schools,Sexual orientation,★ LGBTQ+,1.9,45
Uncommon Schools,Disability,★ People with disabilities,2.0,19
Uncommon Schools,Parent or family caregiver,Scroll to left Race / Ethnicity Gender Sexual orientation Disability Parent or family caregiver Veteran status Scroll to right 3.9 ★ Caregivers 5 ratings 2.6 ★ Not a Parent or Caregiver 149 ratings 2.6 ★ Parents/Guardians,,41
Uncommon Schools,Parent or family caregiver,★ Caregivers,3.9,5
