company_name,department,occupation,page,rating,date,title,job_title,employment_status,location,recommend,ceo_approval,business_outlook,pros,cons,city,state,region
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Jan 14, 2026",I love healthtrust,"Registered nurse, bsn",Current employee,,positive,,,Wonderful company with great benefits. I feel that my recruiter and supervisor listen to me and are there to defend me. The lay is good and so are the benefits,People always say working for HCA is awful but I’ve never had a bad experience in all my years or facilities.,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,1,3.0,"Jan 3, 2026",Okay,"Registered nurse, bsn",Current employee,"San Antonio, TX",,,,Good money on the side if you find a good unit/hospital to pick up shifts at.,"Shifts get cancelled at times, base pay has been lowered twice while I worked there.",San Antonio,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Aug 20, 2025",Not a bad company to work for,"Registered nurse, bsn","Current employee, more than 3 years",Salt Lake City,,,,"Agency nurse, flexible hours, still part of HCA (still able to have 401K and ESPP)","Communication is not the best at this company. Recruiters do not communicate much and always check your paycheck, they have messed mine up in the past.",Salt Lake City,,
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"May 12, 2025",Peace at work,"Registered nurse, bsn","Current employee, more than 3 years","Richmond, VA",,,,No daily emails. No meetings,Stagnant pay. No pay reviews,Richmond,VA,South
HealthTrust Workforce Solutions,Healthcare,Nurse,1,5.0,"Apr 10, 2025",Flexible per diem,"Registered nurse, bsn",Current employee,"Dallas, TX",,,,Flexible schedule High hourly rate Multiple facility options,"May not always get scheduled at the facility you want to go to, frequent cancellations",Dallas,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Apr 9, 2025",Per Diem,"Registered nurse, bsn","Former employee, more than 10 years","Dallas, TX",,,,The ability to schedule my own shifts,If census is low there are times when you are cancelled.,Dallas,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Feb 14, 2025",Not bad could be better,"Registered nurse, bsn","Former employee, more than 5 years",,positive,,positive,Great work flexibility if your willing to travel to other flexibility Frequent pay bonuses if unable to fill positions Weekly pay Access to 401K matching,Sometimes heavy patient loads 6:1 RN to patient ratio Seldom receive raise from base pay,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jan 17, 2025",Healthtrust floatpool RN,"Registered nurse, bsn","Current employee, more than 3 years","Nashville, TN",,,,"Pay, IVF benefits, weekly pay","Poor communication, management are not nurses so difficultly understanding any hardships you encounter",Nashville,TN,South
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jul 16, 2024",Healthtrust/HCA,"Registered nurse, bsn",Current employee,"Dallas, TX",,,,"They have an app that you can book through, which makes picking up shifts easy.",You can get canceled and have to reroute yourself to other hospitals if you want to work that day. Not all are super friendly.,Dallas,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,2,5.0,"Jul 11, 2024",Nurse review,"Registered nurse, bsn","Current employee, less than 1 year","West Palm Beach, FL",,,,Pros would be the general work opportunities available.,Cons would be the change in hours via overtime cap.,West Palm Beach,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,3,3.0,"May 1, 2024",make your own schedule,"Registered nurse, bsn","Current employee, more than 8 years","San Antonio, TX",,,,"flexibility, you choose the days you want to work",first to float or be canceled,San Antonio,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,3,4.0,"Jan 1, 2024",Per Diem RN,"Registered nurse, bsn",Current employee,"Saint Petersburg, FL",,,,Can choose the days you work.,Can be called off at any time.,Saint Petersburg,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,3,3.0,"Dec 2, 2023",Flexible schedule,"Registered nurse, bsn",Current employee,"Bradenton, FL",,,,Flexibility and control over schedule. Able to pick up and multiple hospitals,Patient to nurse ratios is high,Bradenton,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,3,5.0,"Sep 8, 2023",N/A,"Registered nurse, bsn",Current employee,"Plantation, FL",,,,"Differential, self booking via app",Lower pay compared to other local agencies,Plantation,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,3,2.0,"Apr 15, 2023",Needs help with communication,"Registered nurse, bsn",Current employee,"Houston, TX",,,,Pay is below average for agency nursing and I have not received a raise for 2 years.,Not very good with communication as a whole. But I got lucky with a great recruiter but prior to that you would get a different story depending on who on spoke with.,Houston,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,4,5.0,"Apr 12, 2023",Travel nurse,"Registered nurse, bsn","Current employee, more than 3 years","Denver, CO",,,,Never canceled my contract in the 4 years I’ve worked for them,Pay isn’t the highest but that’s really about it,Denver,CO,West
HealthTrust Workforce Solutions,Healthcare,Nurse,4,3.0,"Nov 10, 2022",My stay,"Registered nurse, bsn",Former employee,,,,,Good pay. More hospitals. Competitive facilities.,Unstructured operations. Lack of consistency.,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,4,3.0,"Nov 2, 2022",Happy worker,"Registered nurse, bsn",Former employee,,positive,neutral,positive,Flexibility Helpful and attentive recruiter,Cancellation Poor assignment depending on facility,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,4,1.0,"Jul 20, 2022",They don’t care about employees,"Registered nurse, bsn",Current employee,,negative,neutral,negative,Large corporation through the US,Don’t have too much to say about this company. I guess i have a job here,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,4,4.0,"Feb 23, 2022",Work life,"Registered nurse, bsn","Former employee, more than 10 years",,positive,,positive,Hours are flexible and pay is fair.,Have to float to areas when not needed in specialty area.,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,1,1.0,"Jun 26, 2026","User-friendly app, but pay and hours are inconsistent",Registered nurse,Former employee,"San Jose, CA",,,,Great app very user friendly,Inconsistent hours and pay for months,San Jose,CA,West
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Mar 5, 2026",Good,Registered nurse,Current employee,"Las Vegas, NV",positive,,,Get to choose your own schedule,Onboarding takes a very long time,Las Vegas,NV,West
HealthTrust Workforce Solutions,Healthcare,Nurse,1,5.0,"Nov 13, 2025",Great company,Registered nurse,Current employee,"Las Vegas, NV",,,,"Easy booking, quick response, quick process.",You are the first to get canceled over staff.,Las Vegas,NV,West
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Sep 18, 2025",Great Full time RN position,Registered nurse,"Former employee, more than 3 years","Saint Petersburg, FL",positive,neutral,positive,Flexibility,Contract work so different hospitals everyday sometimes,Saint Petersburg,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Aug 29, 2025",Local Travel,Registered nurse,"Former employee, more than 1 year","Nashville, TN",,,,Can accept contracts with facilities in my area or choose my own schedule.,I did not have any cons to working for HWS,Nashville,TN,South
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Aug 6, 2025",RN,Registered nurse,"Former employee, more than 1 year","Miami, FL",,,,"Flexible scheduling, multiple job opportunities",Low wage increase every year,Miami,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Jul 24, 2025",Solid Travel Company for Long Term Assignment,Registered nurse,"Current employee, more than 1 year","Salt Lake City, UT",positive,neutral,positive,"High hourly rate, able to stay at this assignment for as long as they need me, not the usual year in other travel assignments d/t paying local taxes, Amazing unit","Sometimes hard to communicate, Have to do most of the work myself to ensure my contract gets extended, Have had to call the company several times to fix logistical issues",Salt Lake City,UT,West
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"May 2, 2025",Good company,Registered nurse,"Current employee, more than 1 year","Charleston, SC",,,,Very easy scheduling process on an app.,strict rules with picking up shifts,Charleston,SC,South
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jan 29, 2025",Its okay,Registered nurse,Current employee,"Sunrise, FL",,,,Flexible but you get the worst of it,Canceled shifts and limited facilities affect pay,Sunrise,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Dec 7, 2024",.,Registered nurse,Current employee,"Tampa, FL",,,,Flexible schedule and work life balance,Extremely unsafe ratios at every facility,Tampa,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,3,1.0,"Nov 27, 2024",Healthtrust RN,Registered nurse,"Current employee, more than 1 year","Kansas City, MO",negative,negative,positive,The pay was fine. Full benefits available,Unsafe assignments. 6:1 for most units,Kansas City,MO,Midwest
HealthTrust Workforce Solutions,Healthcare,Nurse,3,4.0,"Sep 18, 2024",HT,Registered nurse,Current employee,"Ocala, FL",,,,"Good pay, lots of PRN shifts","Poor communication, extensive onboarding process",Ocala,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,3,1.0,"Aug 15, 2024",T,Registered nurse,"Current employee, more than 3 years","Houston, TX",negative,negative,negative,"No pros of working here, they de-value Nurses and you do not have a voice.",Everything thing here is cons,Houston,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,3,5.0,"Aug 1, 2024",Rn,Registered nurse,Current employee,"Kansas City, MO",,,,Great company to work for!,You won’t want to leave.,Kansas City,MO,Midwest
HealthTrust Workforce Solutions,Healthcare,Nurse,3,5.0,"May 22, 2024",Love the flexibility,Registered nurse,Current employee,,,,,"Flexible schedule, no nights/weekends/holidays, no politics","The work can be inconsistent. Because it is prn, you are the first to be called off.",,,
HealthTrust Workforce Solutions,Healthcare,Nurse,4,3.0,"Apr 17, 2024",Decent pay,Registered nurse,Current employee,"Fort Worth, TX",negative,negative,neutral,"Pay, flexible schedule, flexible facilities",Pay was cut with no warning by 6 dollars an hour. Expect to be cancelled from time to time.,Fort Worth,TX,South
HealthTrust Workforce Solutions,Healthcare,Nurse,4,4.0,"Mar 14, 2024",n/a,Registered nurse,Current employee,,negative,neutral,neutral,make my own schedule at times,sometimes shifts would cancel me,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,4,5.0,"Mar 9, 2024",Love it,Registered nurse,Current employee,"Tampa, FL",,,,"Flexible, easy to book shifts",Getting cancelled at the last minute but they can reroute you,Tampa,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,4,2.0,"Mar 8, 2024",HCA internal agenct,Registered nurse,"Current employee, more than 3 years","Salt Lake City, UT",negative,negative,negative,They'll continue to renew your contract/block book for forever,They are the worst agency I have ever worked for. I've gone through 6 recruiters. I can't ever get a hold of anyone or ever get anything answered. No clear way to submit your paperwork or access your information. Onboarding took 2 months.,Salt Lake City,UT,West
HealthTrust Workforce Solutions,Healthcare,Nurse,4,2.0,"Mar 2, 2024",horrible,Registered nurse,Former employee,,negative,negative,negative,there are really none working for this company.,it’s hca can I say more?,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,5,3.0,"Dec 4, 2023","Good pay, HCA not a good company to work for",Registered nurse,"Current employee, more than 3 years","Bayonet Point, FL",negative,negative,,Great pay and work life balance,HCA does not care for their employees or patients like other facilities,Bayonet Point,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,5,2.0,"Dec 1, 2023",Not worth it,Registered nurse,"Current employee, less than 1 year","Saint Augustine, FL",negative,,,Pay is good and they offer certain benefits.,"No health insurance benefits for pardiem staff. Awful, awful flowing up. After they recruit you, your recruiter goes MIA. They take so so long to process you as a candidate. You will be contacted by like 5 different people before you are cleared to work and that can take up to a month. The North Florida division is the worst, with basically no options for hospitals and they cancel you a lot. So even though the pay is better you would end up with little shifts worked. It’s a hassle to work for this division of HCA.",Saint Augustine,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,5,4.0,"Oct 26, 2023",Good Place,Registered nurse,Current employee,"Colorado Springs, CO",,,,"Kind people, decent pay, therapy dogs that visit on occasion","Poor communication, lack of good management",Colorado Springs,CO,West
HealthTrust Workforce Solutions,Healthcare,Nurse,5,4.0,"Jul 18, 2023",Pretty Good Job,Registered nurse,"Current employee, more than 1 year","Miami, FL",positive,,positive,Self scheduling. Pay higher than staff. A lot of hospitals to work at.,No guaranteed hours. Canceled quite a bit at 5:30-5:45.,Miami,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,5,4.0,"May 4, 2023",Great place to work!,Registered nurse,"Former employee, more than 5 years","Saint Petersburg Beach, FL",positive,positive,positive,"Good pay, flexible scheduling, lots of hospitals to work at.",401 K and that's all. No other benefits.,Saint Petersburg Beach,FL,South
HealthTrust Workforce Solutions,Healthcare,Nurse,6,5.0,"Mar 12, 2023","Great company, great work life balance",Registered nurse,Current employee,,,,,Work life balance is possible with this company!,Sometimes not consistent bonuses for shifts,,,
HealthTrust Workforce Solutions,Healthcare,Nurse,6,5.0,"Dec 6, 2022",Great agency,Registered nurse,Current employee,,positive,positive,positive,My pay is always correct and there's so much flexibility to manage your personal life,You get cancelled a couple hours before your shift starts,,,
