company_name,department,occupation,page,rating,date,title,job_title,employment_status,location,recommend,ceo_approval,business_outlook,pros,cons,full_text,supportive_coworkers_and_teamwork_score,overall_job_satisfaction_score,healthy_work-life_balance_score,pride_and_sense_of_purpose_score,compassion_fatigue_from_difficult_clients_or_students_score,frustration_with_management_or_leadership_score,burnout_and_exhaustion_score,high_staff_turnover_and_instability_score,dissatisfaction_with_pay_score,invisible_labor_score,positive_experience_score
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Jan 14, 2026",I love healthtrust,"Registered nurse, bsn",Current employee,,positive,,,Wonderful company with great benefits. I feel that my recruiter and supervisor listen to me and are there to defend me. The lay is good and so are the benefits,People always say working for HCA is awful but I’ve never had a bad experience in all my years or facilities.,Wonderful company with great benefits. I feel that my recruiter and supervisor listen to me and are there to defend me. The lay is good and so are the benefits People always say working for HCA is awful but I’ve never had a bad experience in all my years or facilities.,0.9973247051239014,0.9896785616874695,0.9233187437057495,0.7466044425964355,0.11662088334560394,0.04116661846637726,0.01494296733289957,0.006181000266224146,0.006165354512631893,-0.2441371048334986,2.759284794330597
HealthTrust Workforce Solutions,Healthcare,Nurse,1,3.0,"Jan 3, 2026",Okay,"Registered nurse, bsn",Current employee,"San Antonio, TX",,,,Good money on the side if you find a good unit/hospital to pick up shifts at.,"Shifts get cancelled at times, base pay has been lowered twice while I worked there.","Good money on the side if you find a good unit/hospital to pick up shifts at. Shifts get cancelled at times, base pay has been lowered twice while I worked there.",0.12799005210399628,0.06879331916570663,0.14814230799674988,0.13629406690597534,0.0045674811117351055,0.15250462293624878,0.001075061270967126,0.31597015261650085,0.5205749273300171,0.43087849009316415,0.3410775624215603
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Aug 20, 2025",Not a bad company to work for,"Registered nurse, bsn","Current employee, more than 3 years",Salt Lake City,,,,"Agency nurse, flexible hours, still part of HCA (still able to have 401K and ESPP)","Communication is not the best at this company. Recruiters do not communicate much and always check your paycheck, they have messed mine up in the past.","Agency nurse, flexible hours, still part of HCA (still able to have 401K and ESPP) Communication is not the best at this company. Recruiters do not communicate much and always check your paycheck, they have messed mine up in the past.",0.0023922561667859554,0.6407157778739929,0.9784365296363831,0.09996641427278519,0.05735212191939354,0.5342907905578613,0.01175222173333168,0.23324616253376007,0.886875569820404,0.831989367492497,1.2067030455218628
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"May 12, 2025",Peace at work,"Registered nurse, bsn","Current employee, more than 3 years","Richmond, VA",,,,No daily emails. No meetings,Stagnant pay. No pay reviews,No daily emails. No meetings Stagnant pay. No pay reviews,0.000536466424819082,0.06311210989952087,0.11693989485502243,0.002046162262558937,0.015239005908370018,0.9639265537261963,0.2015499323606491,0.00012716054334305227,0.9974750280380249,1.1927204768144293,0.1235190288425656
HealthTrust Workforce Solutions,Healthcare,Nurse,1,5.0,"Apr 10, 2025",Flexible per diem,"Registered nurse, bsn",Current employee,"Dallas, TX",,,,Flexible schedule High hourly rate Multiple facility options,"May not always get scheduled at the facility you want to go to, frequent cancellations","Flexible schedule High hourly rate Multiple facility options May not always get scheduled at the facility you want to go to, frequent cancellations",0.00336341536603868,0.02778466045856476,0.2886054813861847,0.019905218854546547,0.00257376697845757,0.07138028740882874,0.001632803468964994,0.448733389377594,0.0978269875049591,0.3025808514212258,0.18953887681709602
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Apr 9, 2025",Per Diem,"Registered nurse, bsn","Former employee, more than 10 years","Dallas, TX",,,,The ability to schedule my own shifts,If census is low there are times when you are cancelled.,The ability to schedule my own shifts If census is low there are times when you are cancelled.,0.03232463076710701,0.09380148351192474,0.7770464420318604,0.1663290113210678,0.005939499009400606,0.16496704518795013,0.007152603007853031,0.015060988254845142,0.013560782186686993,0.025237129419110715,0.631314936093986
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Feb 14, 2025",Not bad could be better,"Registered nurse, bsn","Former employee, more than 5 years",,positive,,positive,Great work flexibility if your willing to travel to other flexibility Frequent pay bonuses if unable to fill positions Weekly pay Access to 401K matching,Sometimes heavy patient loads 6:1 RN to patient ratio Seldom receive raise from base pay,Great work flexibility if your willing to travel to other flexibility Frequent pay bonuses if unable to fill positions Weekly pay Access to 401K matching Sometimes heavy patient loads 6:1 RN to patient ratio Seldom receive raise from base pay,0.531374454498291,0.6048220992088318,0.9477917551994324,0.032469894737005234,0.01121420320123434,0.0014509382890537381,0.014986428432166576,0.00035909167490899563,0.0005935786757618189,0.008363937784451991,1.5016012387350202
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jan 17, 2025",Healthtrust floatpool RN,"Registered nurse, bsn","Current employee, more than 3 years","Nashville, TN",,,,"Pay, IVF benefits, weekly pay","Poor communication, management are not nurses so difficultly understanding any hardships you encounter","Pay, IVF benefits, weekly pay Poor communication, management are not nurses so difficultly understanding any hardships you encounter",0.00010228549945168197,0.010150267742574215,0.0024856356903910637,0.00019827394862659276,0.26370108127593994,0.9713281989097595,0.037361159920692444,0.07005184888839722,0.9818233251571655,1.2466395203809952,0.011618505173828453
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jul 16, 2024",Healthtrust/HCA,"Registered nurse, bsn",Current employee,"Dallas, TX",,,,"They have an app that you can book through, which makes picking up shifts easy.",You can get canceled and have to reroute yourself to other hospitals if you want to work that day. Not all are super friendly.,"They have an app that you can book through, which makes picking up shifts easy. You can get canceled and have to reroute yourself to other hospitals if you want to work that day. Not all are super friendly.",0.040094174444675446,0.18628481030464172,0.4078575670719147,0.09142191708087921,0.10755922645330429,0.2623390257358551,0.03685151785612106,0.7010716199874878,0.07919225096702576,0.593111427500844,0.48885066248476505
HealthTrust Workforce Solutions,Healthcare,Nurse,2,5.0,"Jul 11, 2024",Nurse review,"Registered nurse, bsn","Current employee, less than 1 year","West Palm Beach, FL",,,,Pros would be the general work opportunities available.,Cons would be the change in hours via overtime cap.,Pros would be the general work opportunities available. Cons would be the change in hours via overtime cap.,0.03811436891555786,0.46716102957725525,0.2633591294288635,0.011851702816784382,0.0028649691957980394,0.012487882748246193,0.03332128748297691,0.0029186909087002277,0.0305232685059309,0.05250908405287191,0.6363151480909437
