company_name,department,occupation,page,rating,date,title,job_title,employment_status,location,recommend,ceo_approval,business_outlook,pros,cons,city,state,region,full_text,supportive_coworkers_and_teamwork_score,overall_job_satisfaction_score,healthy_work-life_balance_score,pride_and_sense_of_purpose_score,compassion_fatigue_from_difficult_clients_or_students_score,frustration_with_management_or_leadership_score,burnout_and_exhaustion_score,high_staff_turnover_and_instability_score,dissatisfaction_with_pay_score,invisible_labor_score,positive_experience_score,job_title_norm,pay_range,min,max,per,num_salaries,asian_rating,black_or_african_american_rating,caregivers_rating,heterosexual_rating,hispanic_or_latinx_rating,indigenous_american_or_alaska_native_rating,lgbtq_rating,men_rating,middle_eastern_rating,non_veterans_rating,not_a_parent_or_caregiver_rating,parents_guardians_rating,people_with_disabilities_rating,people_without_disabilities_rating,transgender_and_or_non_binary_rating,veterans_rating,white_rating,women_rating,n_real_ratings
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Jan 14, 2026",I love healthtrust,"Registered nurse, bsn",Current employee,,positive,,,Wonderful company with great benefits. I feel that my recruiter and supervisor listen to me and are there to defend me. The lay is good and so are the benefits,People always say working for HCA is awful but I’ve never had a bad experience in all my years or facilities.,,,,Wonderful company with great benefits. I feel that my recruiter and supervisor listen to me and are there to defend me. The lay is good and so are the benefits People always say working for HCA is awful but I’ve never had a bad experience in all my years or facilities.,0.9973247051239014,0.9896785616874696,0.9233187437057496,0.7466044425964355,0.1166208833456039,0.0411666184663772,0.0149429673328995,0.0061810002662241,0.0061653545126318,-0.2441371048334986,2.759284794330597,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,3.0,"Jan 3, 2026",Okay,"Registered nurse, bsn",Current employee,"San Antonio, TX",,,,Good money on the side if you find a good unit/hospital to pick up shifts at.,"Shifts get cancelled at times, base pay has been lowered twice while I worked there.",San Antonio,TX,South,"Good money on the side if you find a good unit/hospital to pick up shifts at. Shifts get cancelled at times, base pay has been lowered twice while I worked there.",0.1279900521039962,0.0687933191657066,0.1481423079967498,0.1362940669059753,0.0045674811117351,0.1525046229362487,0.0010750612709671,0.3159701526165008,0.5205749273300171,0.4308784900931641,0.3410775624215603,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"Aug 20, 2025",Not a bad company to work for,"Registered nurse, bsn","Current employee, more than 3 years",Salt Lake City,,,,"Agency nurse, flexible hours, still part of HCA (still able to have 401K and ESPP)","Communication is not the best at this company. Recruiters do not communicate much and always check your paycheck, they have messed mine up in the past.",Salt Lake City,,,"Agency nurse, flexible hours, still part of HCA (still able to have 401K and ESPP) Communication is not the best at this company. Recruiters do not communicate much and always check your paycheck, they have messed mine up in the past.",0.0023922561667859,0.6407157778739929,0.9784365296363832,0.0999664142727851,0.0573521219193935,0.5342907905578613,0.0117522217333316,0.23324616253376,0.886875569820404,0.831989367492497,1.2067030455218628,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,4.0,"May 12, 2025",Peace at work,"Registered nurse, bsn","Current employee, more than 3 years","Richmond, VA",,,,No daily emails. No meetings,Stagnant pay. No pay reviews,Richmond,VA,South,No daily emails. No meetings Stagnant pay. No pay reviews,0.000536466424819,0.0631121098995208,0.1169398948550224,0.0020461622625589,0.01523900590837,0.9639265537261964,0.2015499323606491,0.000127160543343,0.9974750280380248,1.1927204768144293,0.1235190288425656,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,1,5.0,"Apr 10, 2025",Flexible per diem,"Registered nurse, bsn",Current employee,"Dallas, TX",,,,Flexible schedule High hourly rate Multiple facility options,"May not always get scheduled at the facility you want to go to, frequent cancellations",Dallas,TX,South,"Flexible schedule High hourly rate Multiple facility options May not always get scheduled at the facility you want to go to, frequent cancellations",0.0033634153660386,0.0277846604585647,0.2886054813861847,0.0199052188545465,0.0025737669784575,0.0713802874088287,0.0016328034689649,0.448733389377594,0.0978269875049591,0.3025808514212258,0.189538876817096,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Apr 9, 2025",Per Diem,"Registered nurse, bsn","Former employee, more than 10 years","Dallas, TX",,,,The ability to schedule my own shifts,If census is low there are times when you are cancelled.,Dallas,TX,South,The ability to schedule my own shifts If census is low there are times when you are cancelled.,0.032324630767107,0.0938014835119247,0.7770464420318604,0.1663290113210678,0.0059394990094006,0.1649670451879501,0.007152603007853,0.0150609882548451,0.0135607821866869,0.0252371294191107,0.631314936093986,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,4.0,"Feb 14, 2025",Not bad could be better,"Registered nurse, bsn","Former employee, more than 5 years",,positive,,positive,Great work flexibility if your willing to travel to other flexibility Frequent pay bonuses if unable to fill positions Weekly pay Access to 401K matching,Sometimes heavy patient loads 6:1 RN to patient ratio Seldom receive raise from base pay,,,,Great work flexibility if your willing to travel to other flexibility Frequent pay bonuses if unable to fill positions Weekly pay Access to 401K matching Sometimes heavy patient loads 6:1 RN to patient ratio Seldom receive raise from base pay,0.531374454498291,0.6048220992088318,0.9477917551994324,0.0324698947370052,0.0112142032012343,0.0014509382890537,0.0149864284321665,0.0003590916749089,0.0005935786757618,0.0083639377844519,1.5016012387350202,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jan 17, 2025",Healthtrust floatpool RN,"Registered nurse, bsn","Current employee, more than 3 years","Nashville, TN",,,,"Pay, IVF benefits, weekly pay","Poor communication, management are not nurses so difficultly understanding any hardships you encounter",Nashville,TN,South,"Pay, IVF benefits, weekly pay Poor communication, management are not nurses so difficultly understanding any hardships you encounter",0.0001022854994516,0.0101502677425742,0.002485635690391,0.0001982739486265,0.2637010812759399,0.9713281989097596,0.0373611599206924,0.0700518488883972,0.9818233251571656,1.2466395203809952,0.0116185051738284,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,3.0,"Jul 16, 2024",Healthtrust/HCA,"Registered nurse, bsn",Current employee,"Dallas, TX",,,,"They have an app that you can book through, which makes picking up shifts easy.",You can get canceled and have to reroute yourself to other hospitals if you want to work that day. Not all are super friendly.,Dallas,TX,South,"They have an app that you can book through, which makes picking up shifts easy. You can get canceled and have to reroute yourself to other hospitals if you want to work that day. Not all are super friendly.",0.0400941744446754,0.1862848103046417,0.4078575670719147,0.0914219170808792,0.1075592264533042,0.2623390257358551,0.036851517856121,0.7010716199874878,0.0791922509670257,0.593111427500844,0.488850662484765,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
HealthTrust Workforce Solutions,Healthcare,Nurse,2,5.0,"Jul 11, 2024",Nurse review,"Registered nurse, bsn","Current employee, less than 1 year","West Palm Beach, FL",,,,Pros would be the general work opportunities available.,Cons would be the change in hours via overtime cap.,West Palm Beach,FL,South,Pros would be the general work opportunities available. Cons would be the change in hours via overtime cap.,0.0381143689155578,0.4671610295772552,0.2633591294288635,0.0118517028167843,0.002864969195798,0.0124878827482461,0.0333212874829769,0.0029186909087002,0.0305232685059309,0.0525090840528719,0.6363151480909437,"registered nurse, bsn",$79K - $100K /yr,79000.0,100000.0,yr,60.0,2.5,3.4,3.3,3.2,3.1,3.1399999999999997,3.0,3.1,3.1399999999999997,3.2,2.8,3.8,3.1,3.3,3.1399999999999997,2.6,3.3,3.4,15.0
